"date","Year","Month","Day","value"
1955-03-01,1955,3,1,59.046
1955-03-02,1955,3,2,108.251
1955-03-03,1955,3,3,14.059
1955-03-04,1955,3,4,-16.87
1955-03-05,1955,3,5,11.247
1955-03-06,1955,3,6,-25.305
1955-03-07,1955,3,7,-61.858
1955-03-08,1955,3,8,-11.247
1955-03-09,1955,3,9,75.916
1955-03-10,1955,3,10,52.017
1955-03-11,1955,3,11,39.364
1955-03-12,1955,3,12,29.523
1955-03-13,1955,3,13,-2.812
1955-03-14,1955,3,14,39.364
1955-03-15,1955,3,15,-9.841
1955-03-16,1955,3,16,9.841
1955-03-17,1955,3,17,42.176
1955-03-18,1955,3,18,46.393
1955-03-19,1955,3,19,44.988
1955-03-20,1955,3,20,2.812
1955-03-21,1955,3,21,36.552
1955-03-22,1955,3,22,28.117
1955-03-23,1955,3,23,39.364
1955-03-24,1955,3,24,44.988
1955-03-25,1955,3,25,53.423
1955-03-26,1955,3,26,67
1955-03-27,1955,3,27,72
1955-03-28,1955,3,28,56
1955-03-29,1955,3,29,122
1955-03-30,1955,3,30,78.728
1955-03-31,1955,3,31,111.063
1955-04-01,1955,4,1,134.963
1955-04-02,1955,4,2,130.745
1955-04-03,1955,4,3,141.992
1955-04-04,1955,4,4,140.586
1955-04-05,1955,4,5,73.105
1955-04-06,1955,4,6,56.234
1955-04-07,1955,4,7,28.117
1955-04-08,1955,4,8,5.623
1955-04-09,1955,4,9,-14.059
1955-04-10,1955,4,10,19.682
1955-04-11,1955,4,11,5.623
1955-04-12,1955,4,12,56.234
1955-04-13,1955,4,13,89.975
1955-04-14,1955,4,14,70.293
1955-04-15,1955,4,15,87.163
1955-04-16,1955,4,16,87.163
1955-04-17,1955,4,17,115.281
1955-04-18,1955,4,18,64.67
1955-04-19,1955,4,19,25.305
1955-04-20,1955,4,20,19.682
1955-04-21,1955,4,21,25.305
1955-04-22,1955,4,22,-7.029
1955-04-23,1955,4,23,14.059
1955-04-24,1955,4,24,67.481
1955-04-25,1955,4,25,98.41
1955-04-26,1955,4,26,119.498
1955-04-27,1955,4,27,108.251
1955-04-28,1955,4,28,70.293
1955-04-29,1955,4,29,59.046
1955-04-30,1955,4,30,52.017
1955-05-01,1955,5,1,29.523
1955-05-02,1955,5,2,59.046
1955-05-03,1955,5,3,61.858
1955-05-04,1955,5,4,82.946
1955-05-05,1955,5,5,87.163
1955-05-06,1955,5,6,101.222
1955-05-07,1955,5,7,129.339
1955-05-08,1955,5,8,139.18
1955-05-09,1955,5,9,154.645
1955-05-10,1955,5,10,130.745
1955-05-11,1955,5,11,153.239
1955-05-12,1955,5,12,165.891
1955-05-13,1955,5,13,116.686
1955-05-14,1955,5,14,120.904
1955-05-15,1955,5,15,129.339
1955-05-16,1955,5,16,141.992
1955-05-17,1955,5,17,127.933
1955-05-18,1955,5,18,177.138
1955-05-19,1955,5,19,178.544
1955-05-20,1955,5,20,191.197
1955-05-21,1955,5,21,199.632
1955-05-22,1955,5,22,186.979
1955-05-23,1955,5,23,205.256
1955-05-24,1955,5,24,118.092
1955-05-25,1955,5,25,89.975
1955-05-26,1955,5,26,102.628
1955-05-27,1955,5,27,154.645
1955-05-28,1955,5,28,205.256
1955-05-29,1955,5,29,217.908
1955-05-30,1955,5,30,196.82
1955-05-31,1955,5,31,215.097
1955-06-01,1955,6,1,208.067
1955-06-02,1955,6,2,216.502
1955-06-03,1955,6,3,237.59
1955-06-04,1955,6,4,184.168
1955-06-05,1955,6,5,178.544
1955-06-06,1955,6,6,189.791
1955-06-07,1955,6,7,163.08
1955-06-08,1955,6,8,172.921
1955-06-09,1955,6,9,172.921
1955-06-10,1955,6,10,208.067
1955-06-11,1955,6,11,254.461
1955-06-12,1955,6,12,264.302
1955-06-13,1955,6,13,246.026
1955-06-14,1955,6,14,164.486
1955-06-15,1955,6,15,185.574
1955-06-16,1955,6,16,189
1955-06-17,1955,6,17,109.657
1955-06-18,1955,6,18,172
1955-06-19,1955,6,19,206
1955-06-20,1955,6,20,217
1955-06-21,1955,6,21,222
1955-06-22,1955,6,22,183
1955-06-23,1955,6,23,161
1955-06-24,1955,6,24,194
1955-06-25,1955,6,25,194
1955-06-26,1955,6,26,200
1955-06-27,1955,6,27,200
1955-06-28,1955,6,28,200
1955-06-29,1955,6,29,228
1955-06-30,1955,6,30,228
1955-07-01,1955,7,1,228
1955-07-02,1955,7,2,217
1955-07-03,1955,7,3,211
1955-07-04,1955,7,4,200
1955-07-05,1955,7,5,211
1955-07-06,1955,7,6,217
1955-07-07,1955,7,7,217
1955-07-08,1955,7,8,233
1955-07-09,1955,7,9,217
1955-07-10,1955,7,10,228
1955-07-11,1955,7,11,211
1955-07-12,1955,7,12,217
1955-07-13,1955,7,13,217
1955-07-14,1955,7,14,217
1955-07-15,1955,7,15,222
1955-07-16,1955,7,16,239
1955-07-17,1955,7,17,228
1955-07-18,1955,7,18,222
1955-07-19,1955,7,19,228
1955-07-20,1955,7,20,244
1955-07-21,1955,7,21,239
1955-07-22,1955,7,22,222
1955-07-23,1955,7,23,217
1955-07-24,1955,7,24,211
1955-07-25,1955,7,25,233
1955-07-26,1955,7,26,228
1955-07-27,1955,7,27,228
1955-07-28,1955,7,28,228
1955-07-29,1955,7,29,233
1955-07-30,1955,7,30,233
1955-07-31,1955,7,31,200
1955-08-01,1955,8,1,200
1955-08-02,1955,8,2,200
1955-08-03,1955,8,3,189
1955-08-04,1955,8,4,217
1955-08-05,1955,8,5,228
1955-08-06,1955,8,6,222
1955-08-07,1955,8,7,228
1955-08-08,1955,8,8,233
1955-08-09,1955,8,9,228
1955-08-10,1955,8,10,211
1955-08-11,1955,8,11,217
1955-08-12,1955,8,12,222
1955-08-13,1955,8,13,206
1955-08-14,1955,8,14,217
1955-08-15,1955,8,15,217
1955-08-16,1955,8,16,211
1955-08-17,1955,8,17,200
1955-08-18,1955,8,18,200
1955-08-19,1955,8,19,200
1955-08-20,1955,8,20,211
1955-08-21,1955,8,21,217
1955-08-22,1955,8,22,222
1955-08-23,1955,8,23,206
1955-08-24,1955,8,24,217
1955-08-25,1955,8,25,211
1955-08-26,1955,8,26,194
1955-08-27,1955,8,27,178
1955-08-28,1955,8,28,189
1955-08-29,1955,8,29,217
1955-08-30,1955,8,30,211
1955-08-31,1955,8,31,211
1955-09-01,1955,9,1,222
1955-09-02,1955,9,2,222
1955-09-03,1955,9,3,211
1955-09-04,1955,9,4,222
1955-09-05,1955,9,5,217
1955-09-06,1955,9,6,222
1955-09-07,1955,9,7,211
1955-09-08,1955,9,8,206
1955-09-09,1955,9,9,206
1955-09-10,1955,9,10,200
1955-09-11,1955,9,11,194
1955-09-12,1955,9,12,141.992
1955-09-13,1955,9,13,171.515
1955-09-14,1955,9,14,189
1955-09-15,1955,9,15,211
1955-09-16,1955,9,16,206
1955-09-17,1955,9,17,206
1955-09-18,1955,9,18,206
1955-09-19,1955,9,19,189
1955-09-20,1955,9,20,178
1955-09-21,1955,9,21,206
1955-09-22,1955,9,22,206
1955-09-23,1955,9,23,206
1955-09-24,1955,9,24,206
1955-09-25,1955,9,25,194
1955-09-26,1955,9,26,178
1955-09-27,1955,9,27,178
1955-09-28,1955,9,28,156
1955-09-29,1955,9,29,172
1955-09-30,1955,9,30,178
1955-10-01,1955,10,1,206
1955-10-02,1955,10,2,200
1955-10-03,1955,10,3,189
1955-10-04,1955,10,4,189
1955-10-05,1955,10,5,183
1955-10-06,1955,10,6,167
1955-10-07,1955,10,7,161
1955-10-08,1955,10,8,178
1955-10-09,1955,10,9,183
1955-10-10,1955,10,10,194
1955-10-11,1955,10,11,178
1955-10-12,1955,10,12,194
1955-10-13,1955,10,13,200
1955-10-14,1955,10,14,178
1955-10-15,1955,10,15,167
1955-10-16,1955,10,16,161
1955-10-17,1955,10,17,167
1955-10-18,1955,10,18,167
1955-10-19,1955,10,19,156
1955-10-20,1955,10,20,161
1955-10-21,1955,10,21,172
1955-10-22,1955,10,22,144
1955-10-23,1955,10,23,194
1955-10-24,1955,10,24,189
1955-10-25,1955,10,25,161
1955-10-26,1955,10,26,156
1955-10-27,1955,10,27,167
1955-10-28,1955,10,28,156
1955-10-29,1955,10,29,139
1955-10-30,1955,10,30,139
1955-10-31,1955,10,31,150
1955-11-01,1955,11,1,139
1955-11-02,1955,11,2,133
1955-11-03,1955,11,3,139
1955-11-04,1955,11,4,150
1955-11-05,1955,11,5,189
1955-11-06,1955,11,6,167
1955-11-07,1955,11,7,161
1955-11-08,1955,11,8,172
1955-11-09,1955,11,9,128
1955-11-10,1955,11,10,128
1955-11-11,1955,11,11,117
1955-11-12,1955,11,12,89
1955-11-13,1955,11,13,89
1955-11-14,1955,11,14,89
1955-11-15,1955,11,15,94
1955-11-16,1955,11,16,122
1955-11-17,1955,11,17,122
1955-11-18,1955,11,18,122
1955-11-19,1955,11,19,128
1955-11-20,1955,11,20,117
1955-11-21,1955,11,21,106
1955-11-22,1955,11,22,117
1955-11-23,1955,11,23,56
1955-11-24,1955,11,24,56
1955-11-25,1955,11,25,61
1955-11-26,1955,11,26,111
1955-11-27,1955,11,27,122
1955-11-28,1955,11,28,100
1955-11-29,1955,11,29,67
1955-11-30,1955,11,30,67
1955-12-01,1955,12,1,33
1955-12-02,1955,12,2,11
1955-12-03,1955,12,3,22
1955-12-04,1955,12,4,11
1955-12-05,1955,12,5,56
1955-12-06,1955,12,6,78
1955-12-07,1955,12,7,39
1955-12-08,1955,12,8,33
1955-12-09,1955,12,9,83
1955-12-10,1955,12,10,100
1955-12-11,1955,12,11,117
1955-12-12,1955,12,12,100
1955-12-13,1955,12,13,106
1955-12-14,1955,12,14,100
1955-12-15,1955,12,15,78
1955-12-16,1955,12,16,78
1955-12-17,1955,12,17,56
1955-12-18,1955,12,18,50
1955-12-19,1955,12,19,89
1955-12-20,1955,12,20,106
1955-12-21,1955,12,21,106
1955-12-22,1955,12,22,111
1955-12-23,1955,12,23,139
1955-12-24,1955,12,24,128
1955-12-25,1955,12,25,100
1955-12-26,1955,12,26,72
1955-12-27,1955,12,27,67
1955-12-28,1955,12,28,94
1955-12-29,1955,12,29,67
1955-12-30,1955,12,30,78
1955-12-31,1955,12,31,56
1956-01-01,1956,1,1,72
1956-01-02,1956,1,2,72
1956-01-03,1956,1,3,67
1956-01-04,1956,1,4,72
1956-01-05,1956,1,5,72
1956-01-06,1956,1,6,61
1956-01-07,1956,1,7,61
1956-01-08,1956,1,8,83
1956-01-09,1956,1,9,78
1956-01-10,1956,1,10,44
1956-01-11,1956,1,11,56
1956-01-12,1956,1,12,50
1956-01-13,1956,1,13,22
1956-01-14,1956,1,14,11
1956-01-15,1956,1,15,11
1956-01-16,1956,1,16,28
1956-01-17,1956,1,17,28
1956-01-18,1956,1,18,44
1956-01-19,1956,1,19,44
1956-01-20,1956,1,20,72
1956-01-21,1956,1,21,67
1956-01-22,1956,1,22,67
1956-01-23,1956,1,23,72
1956-01-24,1956,1,24,83
1956-01-25,1956,1,25,72
1956-01-26,1956,1,26,111
1956-01-27,1956,1,27,89
1956-01-28,1956,1,28,89
1956-01-29,1956,1,29,39
1956-01-30,1956,1,30,11
1956-01-31,1956,1,31,-28
1956-02-01,1956,2,1,17
1956-02-02,1956,2,2,28
1956-02-03,1956,2,3,56
1956-02-04,1956,2,4,67
1956-02-05,1956,2,5,72
1956-02-06,1956,2,6,89
1956-02-07,1956,2,7,72
1956-02-08,1956,2,8,67
1956-02-09,1956,2,9,33
1956-02-10,1956,2,10,17
1956-02-11,1956,2,11,17
1956-02-12,1956,2,12,17
1956-02-13,1956,2,13,78
1956-02-14,1956,2,14,100
1956-02-15,1956,2,15,100
1956-02-16,1956,2,16,67
1956-02-17,1956,2,17,67
1956-02-18,1956,2,18,67
1956-02-19,1956,2,19,106
1956-02-20,1956,2,20,117
1956-02-21,1956,2,21,106
1956-02-22,1956,2,22,78
1956-02-23,1956,2,23,78
1956-02-24,1956,2,24,56
1956-02-25,1956,2,25,50
1956-02-26,1956,2,26,56
1956-02-27,1956,2,27,94
1956-02-28,1956,2,28,89
1956-02-29,1956,2,29,56
1956-03-01,1956,3,1,33
1956-03-02,1956,3,2,39
1956-03-03,1956,3,3,78
1956-03-04,1956,3,4,61
1956-03-05,1956,3,5,33
1956-03-06,1956,3,6,50
1956-03-07,1956,3,7,94
1956-03-08,1956,3,8,89
1956-03-09,1956,3,9,83
1956-03-10,1956,3,10,89
1956-03-11,1956,3,11,100
1956-03-12,1956,3,12,39
1956-03-13,1956,3,13,39
1956-03-14,1956,3,14,100
1956-03-15,1956,3,15,100
1956-03-16,1956,3,16,50
1956-03-17,1956,3,17,28
1956-03-18,1956,3,18,56
1956-03-19,1956,3,19,89
1956-03-20,1956,3,20,94
1956-03-21,1956,3,21,78
1956-03-22,1956,3,22,67
1956-03-23,1956,3,23,39
1956-03-24,1956,3,24,28
1956-03-25,1956,3,25,67
1956-03-26,1956,3,26,28
1956-03-27,1956,3,27,28
1956-03-28,1956,3,28,44
1956-03-29,1956,3,29,56
1956-03-30,1956,3,30,39
1956-03-31,1956,3,31,17
1956-04-01,1956,4,1,17
1956-04-02,1956,4,2,56
1956-04-03,1956,4,3,89
1956-04-04,1956,4,4,78
1956-04-05,1956,4,5,89
1956-04-06,1956,4,6,89
1956-04-07,1956,4,7,94
1956-04-08,1956,4,8,106
1956-04-09,1956,4,9,89
1956-04-10,1956,4,10,78
1956-04-11,1956,4,11,44
1956-04-12,1956,4,12,56
1956-04-13,1956,4,13,61
1956-04-14,1956,4,14,72
1956-04-15,1956,4,15,111
1956-04-16,1956,4,16,106
1956-04-17,1956,4,17,100
1956-04-18,1956,4,18,94
1956-04-19,1956,4,19,139
1956-04-20,1956,4,20,122
1956-04-21,1956,4,21,111
1956-04-22,1956,4,22,139
1956-04-23,1956,4,23,139
1956-04-24,1956,4,24,139
1956-04-25,1956,4,25,150
1956-04-26,1956,4,26,139
1956-04-27,1956,4,27,133
1956-04-28,1956,4,28,139
1956-04-29,1956,4,29,133
1956-04-30,1956,4,30,133
1956-05-01,1956,5,1,144
1956-05-02,1956,5,2,122
1956-05-03,1956,5,3,117
1956-05-04,1956,5,4,111
1956-05-05,1956,5,5,117
1956-05-06,1956,5,6,111
1956-05-07,1956,5,7,111
1956-05-08,1956,5,8,117
1956-05-09,1956,5,9,111
1956-05-10,1956,5,10,128
1956-05-11,1956,5,11,128
1956-05-12,1956,5,12,128
1956-05-13,1956,5,13,139
1956-05-14,1956,5,14,133
1956-05-15,1956,5,15,133
1956-05-16,1956,5,16,128
1956-05-17,1956,5,17,128
1956-05-18,1956,5,18,122
1956-05-19,1956,5,19,139
1956-05-20,1956,5,20,128
1956-05-21,1956,5,21,133
1956-05-22,1956,5,22,150
1956-05-23,1956,5,23,167
1956-05-24,1956,5,24,178
1956-05-25,1956,5,25,167
1956-05-26,1956,5,26,183
1956-05-27,1956,5,27,183
1956-05-28,1956,5,28,139
1956-05-29,1956,5,29,139
1956-05-30,1956,5,30,144
1956-05-31,1956,5,31,133
1956-06-01,1956,6,1,156
1956-06-02,1956,6,2,150
1956-06-03,1956,6,3,172
1956-06-04,1956,6,4,156
1956-06-05,1956,6,5,178
1956-06-06,1956,6,6,167
1956-06-07,1956,6,7,183
1956-06-08,1956,6,8,167
1956-06-09,1956,6,9,183
1956-06-10,1956,6,10,178
1956-06-11,1956,6,11,183
1956-06-12,1956,6,12,261
1956-06-13,1956,6,13,222
1956-06-14,1956,6,14,206
1956-06-15,1956,6,15,206
1956-06-16,1956,6,16,189
1956-06-17,1956,6,17,200
1956-06-18,1956,6,18,206
1956-06-19,1956,6,19,206
1956-06-20,1956,6,20,211
1956-06-21,1956,6,21,194
1956-06-22,1956,6,22,183
1956-06-23,1956,6,23,183
1956-06-24,1956,6,24,183
1956-06-25,1956,6,25,183
1956-06-26,1956,6,26,172
1956-06-27,1956,6,27,206
1956-06-28,1956,6,28,194
1956-06-29,1956,6,29,194
1956-06-30,1956,6,30,194
1956-07-01,1956,7,1,183
1956-07-02,1956,7,2,194
1956-07-03,1956,7,3,200
1956-07-04,1956,7,4,211
1956-07-05,1956,7,5,211
1956-07-06,1956,7,6,233
1956-07-07,1956,7,7,200
1956-07-08,1956,7,8,178
1956-07-09,1956,7,9,200
1956-07-10,1956,7,10,211
1956-07-11,1956,7,11,217
1956-07-12,1956,7,12,211
1956-07-13,1956,7,13,217
1956-07-14,1956,7,14,228
1956-07-15,1956,7,15,206
1956-07-16,1956,7,16,200
1956-07-17,1956,7,17,206
1956-07-18,1956,7,18,211
1956-07-19,1956,7,19,217
1956-07-20,1956,7,20,200
1956-07-21,1956,7,21,211
1956-07-22,1956,7,22,217
1956-07-23,1956,7,23,233
1956-07-24,1956,7,24,233
1956-07-25,1956,7,25,256
1956-07-26,1956,7,26,256
1956-07-27,1956,7,27,239
1956-07-28,1956,7,28,211
1956-07-29,1956,7,29,194
1956-07-30,1956,7,30,206
1956-07-31,1956,7,31,222
1956-08-01,1956,8,1,222
1956-08-02,1956,8,2,233
1956-08-03,1956,8,3,239
1956-08-04,1956,8,4,228
1956-08-05,1956,8,5,228
1956-08-06,1956,8,6,222
1956-08-07,1956,8,7,233
1956-08-08,1956,8,8,256
1956-08-09,1956,8,9,233
1956-08-10,1956,8,10,256
1956-08-11,1956,8,11,228
1956-08-12,1956,8,12,206
1956-08-13,1956,8,13,233
1956-08-14,1956,8,14,244
1956-08-15,1956,8,15,228
1956-08-16,1956,8,16,233
1956-08-17,1956,8,17,233
1956-08-18,1956,8,18,228
1956-08-19,1956,8,19,222
1956-08-20,1956,8,20,217
1956-08-21,1956,8,21,233
1956-08-22,1956,8,22,256
1956-08-23,1956,8,23,228
1956-08-24,1956,8,24,228
1956-08-25,1956,8,25,228
1956-08-26,1956,8,26,211
1956-08-27,1956,8,27,206
1956-08-28,1956,8,28,189
1956-08-29,1956,8,29,211
1956-08-30,1956,8,30,228
1956-08-31,1956,8,31,217
1956-09-01,1956,9,1,217
1956-09-02,1956,9,2,256
1956-09-03,1956,9,3,244
1956-09-04,1956,9,4,211
1956-09-05,1956,9,5,206
1956-09-06,1956,9,6,222
1956-09-07,1956,9,7,189
1956-09-08,1956,9,8,178
1956-09-09,1956,9,9,217
1956-09-10,1956,9,10,217
1956-09-11,1956,9,11,228
1956-09-12,1956,9,12,211
1956-09-13,1956,9,13,228
1956-09-14,1956,9,14,211
1956-09-15,1956,9,15,206
1956-09-16,1956,9,16,189
